Catégorie,Question,Bonne Réponse,Mauvaise Réponse 1,Mauvaise Réponse 2,Mauvaise Réponse 3,Difficulté
SQL,Quelle est la différence entre INNER JOIN et LEFT JOIN en SQL ?,INNER JOIN renvoie uniquement les lignes ayant des correspondances dans les deux tables, tandis que LEFT JOIN renvoie toutes les lignes de la table à gauche et les lignes correspondantes de la table à droite.,INNER JOIN renvoie toutes les lignes de la table à gauche et les lignes correspondantes de la table à droite.,LEFT JOIN renvoie uniquement les lignes ayant des correspondances dans les deux tables.,INNER JOIN et LEFT JOIN sont des termes interchangeables en SQL.,Moyenne
SQL,Comment supprimer toutes les lignes d'une table sans supprimer la table elle-même ?,DELETE FROM nom_table;,REMOVE FROM nom_table;,DROP FROM nom_table;,TRUNCATE nom_table;,Moyenne
SQL,Quelle fonction SQL est utilisée pour trouver le nombre total de lignes dans une table ?,SELECT COUNT(*) FROM nom_table;,SELECT TOTAL_ROWS(nom_table) FROM nom_table;,COUNT(nom_table);,SUM_ROWS(nom_table);,Moyenne
SQL,Comment trier les résultats d'une requête par ordre décroissant ?,ORDER BY nom_colonne DESC;,SORT DESC nom_colonne;,ARRANGE nom_colonne DESC;,DESC nom_colonne ORDER BY;,Moyenne
SQL,Comment ajouter une nouvelle colonne à une table existante ?,ALTER TABLE nom_table ADD nom_colonne type_de_données;,UPDATE TABLE nom_table SET nom_colonne = type_de_données;,ADD COLUMN nom_table nom_colonne type_de_données;,INSERT INTO nom_table (nom_colonne) VALUES (type_de_données);,Moyenne
IA,Quelles avancées récentes ont été réalisées dans le domaine du traitement du langage naturel ?,Les récentes avancées dans le traitement du langage naturel incluent des modèles tels que GPT-3 et BERT.,Les robots deviennent plus intelligents.,Le langage naturel est difficile à comprendre pour les machines.,Les ordinateurs ne peuvent pas comprendre le contexte du langage naturel.,Moyenne
IA,Quelles entreprises ont récemment annoncé des progrès significatifs dans le domaine de la vision par ordinateur ?,Des entreprises comme Google Microsoft et Tesla ont récemment annoncé des progrès significatifs dans la vision par ordinateur.,Les entreprises ne s'intéressent pas à la vision par ordinateur.,La vision par ordinateur n'est pas une technologie en développement.,Les entreprises technologiques ne s'investissent pas dans la recherche en vision par ordinateur.,Moyenne
IA,Comment l'IA est-elle utilisée pour résoudre des problèmes complexes tels que la prédiction des catastrophes naturelles ?,L'IA est utilisée pour analyser de grandes quantités de données afin de prédire les catastrophes naturelles et d'améliorer la préparation.,L'IA ne peut pas être utilisée pour prédire les catastrophes naturelles.,La prédiction des catastrophes naturelles ne nécessite pas l'utilisation de l'IA.,Les prédictions des catastrophes naturelles sont toujours imprécises.,Moyenne
IA,Quelles préoccupations éthiques ont été soulevées récemment concernant l'utilisation de l'IA dans divers secteurs ?,Des préoccupations éthiques concernant la confidentialité des données la discrimination et la transparence ont été soulevées dans l'IA.,Il n'y a pas de préoccupations éthiques liées à l'IA.,Les préoccupations éthiques ne sont pas pertinentes pour l'IA.,L'éthique ne devrait pas être un facteur dans le développement de l'IA.,Moyenne
IA,Quelles applications innovantes de l'IA ont été développées pour améliorer la santé humaine ?,Des applications telles que la détection précoce des maladies la personnalisation des traitements et la gestion des dossiers médicaux ont été développées grâce à l'IA.,L'IA n'a aucune application dans le domaine de la santé humaine.,Les applications de l'IA dans la santé sont inutiles.,Les professionnels de la santé ne font pas confiance à l'IA.,Moyenne
Lignes de Commandes,Quelle commande permet de lister tous les fichiers d'un répertoire ?,ls,dir,list,show,Moyenne,
Lignes de Commandes,Quelle commande change le répertoire de travail ?,cd,switch,wd,dir,Moyenne
Lignes de Commandes,Comment créer un nouveau répertoire ?,mkdir,newdir,create,add,Moyenne
Lignes de Commandes,Quelle commande copie un fichier d'un endroit à un autre ?,cp,mv,copy,move,Moyenne
Lignes de Commandes,Comment afficher le contenu d'un fichier texte ?,cat,display,show,print
Git et GitHub,Comment cloner un référentiel distant avec Git ?,git clone,git pull,git copy,git fetch,Moyenne
Git et GitHub,Quelle commande permet de créer une nouvelle branche dans Git ?,git branch,git create,git new-branch,git make-branch,Moyenne
Git et GitHub,Comment annuler le dernier commit dans Git sans perdre les modifications ?,git reset --soft HEAD^,git revert,git reset --hard HEAD^,git cancel commit,Moyenne
Git et GitHub,Quelle commande fusionne une branche dans Git ?,git merge,git combine,git join,git branch,Moyenne
Git et GitHub,Comment créer une demande de tirage (pull request) sur GitHub ?,Créer une branche et soumettre une pull request,git push origin feature-branch,git request-pull,git submit-pull-request,Moyenne
Python,Quelle est la fonction utilisée pour obtenir la longueur d'une liste en Python ?,len,length,getSize,count,Moyenne
Python,Comment ouvrir un fichier en mode écriture ('write') en Python ?,open('filename' 'w'),file.open('filename'  'write'),read('filename' 'w'),write('filename' 'r'),Moyenne
Python,Quelle est la méthode pour ajouter un élément à la fin d'une liste en Python ?,append(),add(),insert(),extend(),Moyenne
Python,Comment définir une fonction en Python ?,def ma_fonction():,function ma_fonction():,define ma_fonction():,create ma_fonction(),Moyenne
Python,Quelle est la différence entre les tuples et les listes en Python ?,Les tuples sont immuables,Les listes sont immuables,Les tuples peuvent être modifiés,Les listes sont plus rapides que les tuples,Moyenne
Soft Skills,Moyenne,Qu'est-ce que l'intelligence émotionnelle ?,La capacité de comprendre et gérer ses propres émotions et celles des autres.,La capacité de résoudre des problèmes complexes.,La capacité de mémoriser rapidement des informations.,La capacité de calculer mentalement des équations difficiles,Moyenne
Soft Skills,Moyenne,Que signifie la communication assertive ?,S'exprimer de manière directe honnête et respectueuse.,Éviter les conversations difficiles.,Être trop critique envers les autres.,Hésiter et ne pas exprimer clairement ses opinions,Moyenne
Soft Skills,Moyenne,Comment favoriser la diversité et l'inclusion au travail ?,Promouvoir un environnement accueillant pour toutes les personnes quel que soit leur origine.,Favoriser l'exclusion des opinions divergentes.,Ignorer les différences culturelles.,Privilégier un seul type de profil,Moyenne
Soft Skills,Moyenne,Qu'est-ce que la gestion du temps ?,L'efficacité dans l'utilisation du temps disponible.,Le report constant des tâches à accomplir.,L'abandon des délais.,Le travail excessif sans pause,Moyenne
Soft Skills,Moyenne,Quelle est l'importance de la rétroaction constructive ?,Elle permet d'améliorer les performances et favorise la croissance professionnelle.,Elle crée un environnement de travail hostile.,Elle décourage les efforts individuels.,Elle est inutile dans un contexte professionnel,Moyenne

